"Property Name",,"vi-VN","Node Path","Description"
"Caption","Rule Value Comparison Properties","Qui ước Các thuộc tính So sánh Giá trị","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties",
"Caption","Right Operand","Toán hạng Phải","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\RightOperand",
"Caption","Operator Type","Kiểu Toán tử","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\OperatorType",
"Caption","Target Collection Aggregate","Toàn bộ Tập hợp Mục tiêu","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\TargetCollectionAggregate",
"Caption","Message Template Must Be Equal To Operand","Mẫu thông báo phải bằng toán hạng","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustBeEqualToOperand",
"Caption","Message Template Must Be Greater Than Operand","Mẫu thông báo phải lớn hơn toán hạng","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustBeGreaterThanOperand",
"Caption","Message Template Must Be Greater Than Or Equal To Operand","Mẫu thông báo phải lớn hơn hoặc bằng toán hạng","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustBeGreaterThanOrEqualToOperand",
"Caption","Message Template Must Be Less Than Operand","Mẫu thông báo phải nhỏ hơn toán hạng","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustBeLessThanOperand",
"Caption","Message Template Must Be Less Than Or Equal To Operand","Mẫu thông báo phải nhỏ hơn hoặc bằng toán hạng","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustBeLessThanOrEqualToOperand",
"Caption","Message Template Must Not Be Equal To Operand","Mẫu thông báo phải không bằng toán hạng","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustNotBeEqualToOperand",
"Caption","Right Operand Expression","Biểu thức Toán hạng Phải","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\RightOperandExpression",
"Value","Aggregate","Toàn bộ","Localization\Enums\DevExpress.Data.Filtering.Aggregate",
"Value","Avg","Trung bình","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Avg",
"Value","Count","Đếm","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Count",
"Value","Exists","Tồn tại","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Exists",
"Value","Max","Lớn nhất","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Max",
"Value","Min","Nhỏ nhất","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Min",
"Value","Sum","Tổng","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Sum",
"Value","Is Valid","Là Hợp lệ","Localization\Enums\DevExpress.ExpressApp.Validation.AllContextsView.IsValid",
"Value","Invalid","Không hợp lệ","Localization\Enums\DevExpress.ExpressApp.Validation.AllContextsView.IsValid\Invalid",
"Value","Valid","Hợp lệ","Localization\Enums\DevExpress.ExpressApp.Validation.AllContextsView.IsValid\Valid",
"Value","String Comparison Type","Kiểu So sánh Chuỗi","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType",
"Value","Contains","Có chứa","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\Contains",
"Value","Ends with","Kết thúc với","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\EndsWith",
"Value","Equals","Bằng","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\Equals",
"Value","Not equals","Không bằng","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\NotEquals",
"Value","Starts with","Bắt đầu với","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\StartsWith",
"Value","Validation State","Trạng thái Kiểm tra hợp lệ","Localization\Enums\DevExpress.Persistent.Validation.ValidationState",
"Value","Invalid","Không hợp lệ","Localization\Enums\DevExpress.Persistent.Validation.ValidationState\Invalid",
"Value","Skipped","Đã bỏ qua","Localization\Enums\DevExpress.Persistent.Validation.ValidationState\Skipped",
"Value","Valid","Hợp lệ","Localization\Enums\DevExpress.Persistent.Validation.ValidationState\Valid",
"Value","Value Comparison Type","Kiểu So sánh Giá trị","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType",
"Value","Equals","Bằng","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\Equals",
"Value","Greater than","Lớn hơn","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\GreaterThan",
"Value","Greater than or equal","Lớn hơn hoặc bằng","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\GreaterThanOrEqual",
"Value","Less than","Nhỏ hơn","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\LessThan",
"Value","Less than or equal","Nhỏ hơn hoặc bằng","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\LessThanOrEqual",
"Value","Not equals","Không bằng","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\NotEquals",
"Value","Persistent Criteria Evaluation Behavior","Persistent Cách thức Đánh giá Biểu thức lọc","Localization\Enums\DevExpress.Xpo.PersistentCriteriaEvaluationBehavior",
"Value","Before transaction","Trước khi giao dịch","Localization\Enums\DevExpress.Xpo.PersistentCriteriaEvaluationBehavior\BeforeTransaction",
"Value","In transaction","Trong khi giao dịch","Localization\Enums\DevExpress.Xpo.PersistentCriteriaEvaluationBehavior\InTransaction",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Một vài vấn đề được tìm thấy trong quá trình kiểm tra hợp lệ. Xin vui lòng đọc các thông tin dưới đây để hiểu những gì xảy ra và làm thế nào để sửa chúng.","Localization\Exceptions\UserVisibleExceptions\Validation\ActionErrorMessageHeaderFormat",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Một vài vấn đề được tìm thấy trong quá trình kiểm tra hợp lệ. Xin vui lòng đọc các thông tin dưới đây để hiểu những gì xảy ra và làm thế nào để sửa chúng.","Localization\Exceptions\UserVisibleExceptions\Validation\AllContextsErrorMessageHeader",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Một vài vấn đề được tìm thấy trong quá trình kiểm tra hợp lệ. Xin vui lòng đọc các thông tin dưới đây để hiểu những gì xảy ra và làm thế nào để sửa chúng.","Localization\Exceptions\UserVisibleExceptions\Validation\DeleteErrorMessageHeader",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Một vài vấn đề được tìm thấy trong quá trình kiểm tra hợp lệ. Xin vui lòng đọc các thông tin dưới đây để hiểu những gì xảy ra và làm thế nào để sửa chúng.","Localization\Exceptions\UserVisibleExceptions\Validation\SaveErrorMessageHeader",
"Value","No problems were detected.","Không có vấn đề nào được phát hiện.","Localization\Exceptions\UserVisibleExceptions\Validation\ValidationSucceededMessageHeader",
"Caption",,,"Validation\Contexts\Accept",
"Caption","Delete",,"Validation\Contexts\Delete",
"Caption","Save",,"Validation\Contexts\Save",
"MessageTemplateSkipNullOrEmptyValues","The ""{Id}"" rule was not checked because the target properties are not specified.","Qui ước {Id}"" không được kiểm tra bởi vì các thuộc tính mục tiêu không được xác định.""","Validation\ErrorMessageTemplates\RuleBase",
"MessageTemplateTargetDoesNotSatisfyTargetCriteria","The ""{Id}"" rule was not checked because the target object does not satisfy rule's target criteria.","Qui ước {Id}"" không được kiểm tra bởi vì đối tượng mục tiêu không thỏa mãn biểu thức lọc mục tiêu của qui ước.""","Validation\ErrorMessageTemplates\RuleBase",
"MessageTemplateTargetDoesNotSatisfyCollectionCriteria","The ""{Id}"" rule was not checked because the target is not an element of the ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"" collection.","Qui ước {Id}"" không được kiểm tra bởi vì mục tiêu không phải là một phần tử của bộ sưu tập ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"".""","Validation\ErrorMessageTemplates\RuleCollectionProperty",
"MessageTemplateCollectionValidationMessageSuffix","(For the ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"" collection elements).","(Cho các phần tử bộ sưu tập {TargetCollectionOwnerType}.{TargetCollectionPropertyName}"").""","Validation\ErrorMessageTemplates\RuleCollectionProperty",
"MessageTemplateCombinationOfPropertiesMustBeUnique","Combination of the following properties must be unique: {FormattedTargetProperties}.","Sự kết hợp của các thuộc tính sau phải là duy nhất: {FormattedTargetProperties}.","Validation\ErrorMessageTemplates\RuleCombinationOfPropertiesIsUnique",
"MessageTemplateFoundObjects","The following objects are found: ","Các đối tượng sau được tìm thấy: ","Validation\ErrorMessageTemplates\RuleCombinationOfPropertiesIsUnique",
"MessageTemplateMustSatisfyCriteria","The ""{TargetObject}"" object must satisfy the following criteria: ""{Criteria}"".","Đối tượng {TargetObject}"" phải thỏa mãn biểu thức lọc sau: ""{Criteria}"".""","Validation\ErrorMessageTemplates\RuleCriteria",
"MessageTemplateMustBeTrue","""{TargetPropertyName}"" must be set to true.","{TargetPropertyName}"" phải được thiết lập là true.""","Validation\ErrorMessageTemplates\RuleFromBoolProperty",
"MessageTemplateMustBeReferenced","The ""{TargetObject}"" object must be referenced.","Đối tượng {TargetObject}"" phải được tham chiếu.""","Validation\ErrorMessageTemplates\RuleIsReferenced",
"MessageTemplateFoundObjects","The following objects are found: ","Các đối tượng sau được tìm thấy: ","Validation\ErrorMessageTemplates\RuleIsReferenced",
"MessageTemplateMustExist","The objects that satisfy the ""{Criteria}"" criteria must exist.","Các đối tượng thỏa mãn biểu thức lọc {Criteria}"" phải tồn tại.""","Validation\ErrorMessageTemplates\RuleObjectExists",
"MessageTemplateFoundObjects","The following objects are found: ","Các đối tượng sau được tìm thấy: ","Validation\ErrorMessageTemplates\RuleObjectExists",
"MessageTemplateMustBeInRange","""{TargetPropertyName}"" must be within the ""{MinimumValue}"" and ""{MaximumValue}"" range, boundaries are included.","""{TargetPropertyName}"" must be within the ""{MinimumValue}"" and ""{MaximumValue}"" range, boundaries are included.","Validation\ErrorMessageTemplates\RuleRange",
"MessageTemplateMustMatchPattern","""{TargetPropertyName}"" must match the following pattern: ""{Pattern}"".","{TargetPropertyName}"" phải tương ứng với mẫu sau: ""{Pattern}"".""","Validation\ErrorMessageTemplates\RuleRegularExpression",
"MessageTemplateMustNotBeEmpty","""{TargetPropertyName}"" must not be empty.","{TargetPropertyName}"" không được trống.""","Validation\ErrorMessageTemplates\RuleRequiredField",
"MessageTemplateFoundObjects","The following objects are found: ","Các đối tượng sau được tìm thấy: ","Validation\ErrorMessageTemplates\RuleSearchObject",
"MessageTemplateMustContain","""{TargetPropertyName}"" must contain ""{OperandValue}"".","{TargetPropertyName}"" phải chứa ""{OperandValue}"".""","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeginWith","""{TargetPropertyName}"" must begin with ""{OperandValue}"".","{TargetPropertyName}"" phải bắt đầu với ""{OperandValue}"".""","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustEndWith","""{TargetPropertyName}"" must end with ""{OperandValue}"".","{TargetPropertyName}"" phải kết thúc với ""{OperandValue}"".""","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeEqual","""{TargetPropertyName}"" must be equal to ""{OperandValue}"".","{TargetPropertyName}"" phải bằng ""{OperandValue}"".""","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustNotBeEqual","""{TargetPropertyName}"" must not be equal to ""{OperandValue}"".","{TargetPropertyName}"" phải không bằng ""{OperandValue}"".""","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeUnique","There is an object with the same value specified for ""{TargetPropertyName}"". ""{TargetPropertyName}"" values must be unique.","Có một đối tượng có cùng giá trị với {TargetPropertyName}"". Các giá trị của ""{TargetPropertyName}"" phải là duy nhất.""","Validation\ErrorMessageTemplates\RuleUniqueValue",
"MessageTemplateMustBeEqualToOperand","""{TargetPropertyName}"" must be equal to ""{RightOperand}"".","{TargetPropertyName}"" phải bằng với ""{RightOperand}"".""","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOperand","""{TargetPropertyName}"" must be greater than ""{RightOperand}"".","{TargetPropertyName}"" phải lớn hơn ""{RightOperand}"".""","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOrEqualToOperand","""{TargetPropertyName}"" must be greater than or equal to ""{RightOperand}"".","{TargetPropertyName}"" phải lớn hơn hoặc bằng ""{RightOperand}"".""","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOperand","""{TargetPropertyName}"" must be less than ""{RightOperand}"".","{TargetPropertyName}"" phải nhỏ hơn ""{RightOperand}"".""","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOrEqualToOperand","""{TargetPropertyName}"" must be less than or equal to ""{RightOperand}"".","{TargetPropertyName}"" phải nhỏ hơn hoặc bằng ""{RightOperand}"".""","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustNotBeEqualToOperand","""{TargetPropertyName}"" must not be equal to ""{RightOperand}"".","{TargetPropertyName}"" phải không bằng ""{RightOperand}"".""","Validation\ErrorMessageTemplates\RuleValueComparison",
"Caption","Rule Details","Chi tiết qui ước","Views\DisplayableValidationResultItem_DetailView\Items\RuleProperties",
"Caption","Displayable Validation Result Item","Mục Kết quả Kiểm tra hợp lệ Có thể hiển thị","Views\DisplayableValidationResultItem_DetailView\Layout\Main\SimpleEditors\DisplayableValidationResultItem",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleBaseProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleCollectionPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Tìm Các thuộc tính Đối tượng","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Tìm Các thuộc tính Đối tượng","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Tìm Các thuộc tính Đối tượng","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Range Properties","IRule Xếp loại Các thuộc tính","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleRangeProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Tìm Các thuộc tính Đối tượng","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule String Comparison Properties","IRule xâu Các thuộc tính So sánh","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleStringComparisonProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleSupportsCollectionAggregatesProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Value Comparison Properties","IRule Các thuộc tính So sánh Giá trị","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleValueComparisonProperties",
"Caption","IRule Base Properties","IRule Các thuộc tính Cơ bản","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleBaseProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Qui ước Tìm Các thuộc tính Đối tượng","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Qui ước Tìm Các thuộc tính Đối tượng","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Qui ước Tìm Các thuộc tính Đối tượng","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Range Properties","Qui ước Xếp loại Các thuộc tính","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleRangeProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Qui ước Tìm Các thuộc tính Đối tượng","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Validation Error","Lỗi Kiểm tra hợp lệ","Views\RuleSetValidationResult_ByTarget_Error_DetailView",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Các vấn đề được phát hiện trong quá trình kiểm tra dữ liệu. Vui lòng đọc các thông tin dưới đây để hiểu những gì đã xảy ra và làm thế nào để sửa chúng.","Views\RuleSetValidationResult_ByTarget_Error_DetailView\Items\ValidationResultsText",
"Caption","Context","Ngữ cảnh","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextCaption",
"Caption","ContextId","Id Ngữ cảnh","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextId",
"Caption","Description","Mô tả","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ErrorMessage",
"Caption","Rule Set Validation Result Item","Qui ước Thiết lập Mục Kết quả Kiểm tra hợp lệ","Views\RuleSetValidationResultItem_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule Set Validation Result Item","Qui ước Thiết lập Mục Kết quả Kiểm tra hợp lệ","Views\RuleSetValidationResultItemAggregate_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule String Comparison Properties","Qui ước các thuộc tính so sánh chuỗi","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleStringComparisonProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Qui ước Tìm Các thuộc tính Đối tượng","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Value Comparison Properties","Qui ước Các thuộc tính So sánh Giá trị","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleValueComparisonProperties",
"Caption","Rule Base Properties","Qui ước Các thuộc tính Cơ bản","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Các vấn đề được phát hiện trong quá trình kiểm tra dữ liệu. Vui lòng đọc các thông tin dưới đây để hiểu những gì đã xay ra và làm thế nào để sửa chúng.","Views\ValidationResults_Error_DetailView\Items\ValidationResultsText",
"Text","No problems were detected.","Không có vấn đề nào được phát hiện.","Views\ValidationResults_Passed_DetailView\Items\ValidationResultsText",
"Value","Validation error","Lỗi Kiểm tra hợp lệ","Localization\Messages\ValidationErrorMessage",
"Value","Clear settings","Xóa trắng các thiết lập","Localization\ChartModule\ClearSettings",
"Value","Invoke Wizard","Gọi Thuật sĩ","Localization\ChartModule\InvokeWizard",
"Caption","Clone...","Nhân bản...","ActionDesign\Actions\CloneObject",
"ToolTip","Clone object","Nhân bản đối tượng","ActionDesign\Actions\CloneObject",
"Caption","MarkCompleted","Đánh đấu Đã hoàn thành","ActionDesign\Actions\Task.MarkCompleted",
"Caption","Base Audited Object Weak Reference","Đối tượng được theo dõi vết cơ sở tham chiếu theo qui tắc","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference",
"Caption","Display Name","Tên hiển thị","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\DisplayName",
"Caption","Guid Id","Mã Guid","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\GuidId",
"Caption","Int Id","Mã Int","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\IntId",
"Caption","Address","Địa chỉ","BOModel\DevExpress.Persistent.BaseImpl.Address",
"Caption","Street","Đường phố","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Street",
"Caption","City","Thành phố","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\City",
"Caption","State Province","Bang","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\StateProvince",
"Caption","Zip Postal","Mã Bưu chính","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\ZipPostal",
"Caption","Country","Quốc gia","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Country",
"Caption","Full Address","Địa chỉ đầy đủ","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\FullAddress",
"Caption","Analysis","Phân tích","BOModel\DevExpress.Persistent.BaseImpl.Analysis",
"Caption","Name","Tên","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Name",
"Caption","Criteria","Biểu thức lọc","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Criteria",
"Caption","Self","Tự","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Self",
"Caption","Data Type","Kiểu Dữ liệu","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\DataType",
"Caption","Audit Data Item Persistent","Mục dữ liệu lưu vết đối tượng Persistent","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent",
"Caption","User Name","Tên Người dùng","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\UserName",
"Caption","Modified On","Sửa lúc","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\ModifiedOn",
"Caption","Operation Type","Kiểu Hành động","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OperationType",
"Caption","Description","Mô tả","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\Description",
"Caption","Old Value","Giá trị Cũ","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OldValue",
"Caption","New Value","Giá trị Mới","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\NewValue",
"Caption","Property Name","Tên Thuộc tính","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\PropertyName",
"Caption","Audited Object Weak Reference","Đối tượng được lưu vết tham chiếu theo qui tắc","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference",
"Caption","Audit Data Items","Các mục Dữ liệu Lưu vết","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference\OwnMembers\AuditDataItems",
"Caption","Base Object","Đối tượng Cơ sở","BOModel\DevExpress.Persistent.BaseImpl.BaseObject",
"Caption","User","Người dùng","BOModel\DevExpress.Persistent.BaseImpl.BasicUser",
"Caption","User Name","Tên Người dùng","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\UserName",
"Caption","Full Name","Tên Đầy đủ","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\FullName",
"Caption","Is Active","Đang Hoạt động","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsActive",
"Caption","Is Administrator","Là Quản trị viên","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Thay đổi Mật khẩu Khi Đăng nhập Lần đầu","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Country","Quốc gia","BOModel\DevExpress.Persistent.BaseImpl.Country",
"Caption","Name","Tên","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\Name",
"Caption","Phone Code","Mã Điện thoại","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\PhoneCode",
