"Property Name",,"no","Node Path","Description"
"Value","Can't add the '{0}' collection","Kan ikke legge til collection {0}","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","Kan ikke legge til duplikat property editor: {0}","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","Kan ikke legge til tom singleton. Opprett ny forekomst av collection","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","Kan ikke opprette riktig detalj-element for {0}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","Kan ikke opprette riktig property editor for ' {0}.{1}' property","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","Kan ikke endre skjemaet for attributt","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","Kan ikke opprette malen ved navn: {0}","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","Finner ikke ListView med ID = {0}","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Cannot find the '{0}' member within the '{1}' class","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","Finner ikke egenskapen {0} i klassen {1}","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","Kan ikke generere innhold: ClassName-attributtet er tomt","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","Kan ikke hente det redigerte objektet","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","Kan ikke behandle den forespurte url","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","Kan ikke behandle den forespurte url, action item {0} ble ikke funnet","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","Kan ikke lese ordliste fra ressursen {0} i assembly'et {1}","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","Kan ikke angi EditValue '{0}' text, tilgjengelige verdier: \r\n {1}","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","Kan ikke angi EditValue med teksten '{0}', liste er tom","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","Kan ikke vise visningen, ukjent kontekst: {0}","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","Kan ikke vise visningen, ukjent mål: {0}","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","Klassen {0} implementerer ikke grensesnittet {1}","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
"Value","The database version is greater than the application version. The application needs to be updated. Please contact your system administrator or download a new version.\r\nAdditional information: the local version {0} of module '{1}' is smaller than version {2} in the database.","Database-versjon er høyere enn program-versjon. Programmet må oppdateres. Kontakt systemansvarlig eller laste ned en ny version.\r\nEkstra informasjon: den lokale versjonen {0} av modulen {1} er lavere enn versjonen {2} i databasen.","Localization\Exceptions\SystemExceptions\CompatibilityApplicationIsOldError",
"Value","The database version is older than the application version. The database needs to be updated.","Databasen er en eldre versjon enn programmet. Databasen må oppdateres.","Localization\Exceptions\SystemExceptions\CompatibilityDatabaseIsOldError",
"Value","Config file '{0}' doesn't exists","Config-filen {0} finnes ikke","Localization\Exceptions\SystemExceptions\ConfigFileDoesNotExists",
"Value","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","'add\[@key=\""Modules\ ]' noden bør inneholde modul-liste, config-filen {0}","Localization\Exceptions\SystemExceptions\ConfigFileHasNoModuleNames",
"Value","Unable to set '{0}' property. Current object is not set","Kan ikke angi egenskapen {0}. Gjeldende objekt er ikke angitt","Localization\Exceptions\SystemExceptions\CurrentObjectIsNotSet",
"Value","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Hvis du vil unngå denne feilen er det nødvendig å tilordne egenskapen CustomizePopupWindowParamsEventArgs.View ved håndtering av hendelsen CustomizePopupWindowParams. Hvis du vil gjøre dette, kan du opprette en visning ved hjelp av XafApplication.CreateDetailView/CreateListView-metoder. Se produktdokumentasjonen for mer detaljert informasjon om disse klasser og metoder. Hvis dette ikke hjelper, kan du kontakte vår support-gruppe på http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CustomizePopupWindowParamsEventArgsViewIsNull",
"Value","A dataLayer already exists: '{0}'","Det finnes allerede en dataLayer: {0}","Localization\Exceptions\SystemExceptions\DataLayerAlreadyExists",
"Value","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","Dictionary path element parsing mislyktes. Det er en syntaksfeil i uttrykket {0}","Localization\Exceptions\SystemExceptions\DictionaryPathItemParsingFailed",
"Value","Dictionary path parsing failed. There is a syntax error in expression '{0}'","Dictionary path parsing mislyktes. Det er en syntaksfeil i uttrykket {0}","Localization\Exceptions\SystemExceptions\DictionaryPathParsingFailed",
"Value","Duplicate Component Identifier '{0}'","Duplikat komponent Id {0}","Localization\Exceptions\SystemExceptions\DuplicateComponentIdentifier",
"Value","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","Det oppstår feil mens du legger til {2} egendefinerte egenskapen ({0} egenskapstypen) til typen {1}: {3}","Localization\Exceptions\SystemExceptions\ErrorOccursWhileAddingTheCustomProperty",
"Value","The following error occurred:","Følgende feil oppstod:","Localization\Exceptions\SystemExceptions\ExceptionDialogLabel",
"Value","Column '{0}' does not exist in grid","Kolonnen {0} finnes ikke i grid","Localization\Exceptions\SystemExceptions\GridColumnDoesNotExist",
"Value","Column '{0}' already exists in grid","Kolonnen {0} finnes allerede i grid","Localization\Exceptions\SystemExceptions\GridColumnExists",
