"Property Name",,"ru","Node Path","Description"
"Caption","Message Template Must Not Be Equal To Operand","Шаблон сообщения о том что значение не должно быть равно операнду","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\MessageTemplateMustNotBeEqualToOperand",
"Caption","Right Operand Expression","Выражение для вычисления правого операнда","BOModel\DevExpress.Persistent.Validation.RuleValueComparisonProperties\OwnMembers\RightOperandExpression",
"Value","Aggregate","Сводное значение","Localization\Enums\DevExpress.Data.Filtering.Aggregate",
"Value","Avg","Среднее значение","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Avg",
"Value","Count","Количество","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Count",
"Value","Exists","Существование","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Exists",
"Value","Max","Максимум","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Max",
"Value","Min","Минимум","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Min",
"Value","Sum","Сумма","Localization\Enums\DevExpress.Data.Filtering.Aggregate\Sum",
"Value","Is Valid","Валидность","Localization\Enums\DevExpress.ExpressApp.Validation.AllContextsView.IsValid",
"Value","Invalid","Недействительный","Localization\Enums\DevExpress.ExpressApp.Validation.AllContextsView.IsValid\Invalid",
"Value","Valid","Действительный","Localization\Enums\DevExpress.ExpressApp.Validation.AllContextsView.IsValid\Valid",
"Value","String Comparison Type","Тип сравнения строк","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType",
"Value","Contains","Содержит","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\Contains",
"Value","Ends with","Заканчивается на","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\EndsWith",
"Value","Equals","Равно","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\Equals",
"Value","Not equals","Не равно","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\NotEquals",
"Value","Starts with","Начинается с","Localization\Enums\DevExpress.Persistent.Validation.StringComparisonType\StartsWith",
"Value","Validation State","Состояние проверки","Localization\Enums\DevExpress.Persistent.Validation.ValidationState",
"Value","Invalid","Недействительный","Localization\Enums\DevExpress.Persistent.Validation.ValidationState\Invalid",
"Value","Skipped","Пропущенный","Localization\Enums\DevExpress.Persistent.Validation.ValidationState\Skipped",
"Value","Valid","Действительный","Localization\Enums\DevExpress.Persistent.Validation.ValidationState\Valid",
"Value","Value Comparison Type","Тип сравнения значений","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType",
"Value","Equals","Равно","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\Equals",
"Value","Greater than","Больше","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\GreaterThan",
"Value","Greater than or equal","Больше или равно","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\GreaterThanOrEqual",
"Value","Less than","Меньше","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\LessThan",
"Value","Less than or equal","Меньше или равно","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\LessThanOrEqual",
"Value","Not equals","Не равно","Localization\Enums\DevExpress.Persistent.Validation.ValueComparisonType\NotEquals",
"Value","Persistent Criteria Evaluation Behavior","Поведение вычисления хранимого критерия","Localization\Enums\DevExpress.Xpo.PersistentCriteriaEvaluationBehavior",
"Value","Before transaction","Перед транзакцией","Localization\Enums\DevExpress.Xpo.PersistentCriteriaEvaluationBehavior\BeforeTransaction",
"Value","In transaction","В транзакции","Localization\Enums\DevExpress.Xpo.PersistentCriteriaEvaluationBehavior\InTransaction",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","При контроле данных обнаружены проблемы. Информация об ошибках и способах их устранения приведена ниже.","Localization\Exceptions\UserVisibleExceptions\Validation\ActionErrorMessageHeaderFormat",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","При контроле данных обнаружены проблемы. Информация об ошибках и способах их устранения приведена ниже.","Localization\Exceptions\UserVisibleExceptions\Validation\AllContextsErrorMessageHeader",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","При контроле данных обнаружены проблемы. Информация об ошибках и способах их устранения приведена ниже.","Localization\Exceptions\UserVisibleExceptions\Validation\DeleteErrorMessageHeader",
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","При контроле данных обнаружены проблемы. Информация об ошибках и способах их устранения приведена ниже.","Localization\Exceptions\UserVisibleExceptions\Validation\SaveErrorMessageHeader",
"Value","No problems were detected.","При контроле данных проблем не выявлено.","Localization\Exceptions\UserVisibleExceptions\Validation\ValidationSucceededMessageHeader",
"Caption",,"Принять","Validation\Contexts\Accept",
"Caption",,"Удалить","Validation\Contexts\Delete",
"Caption",,"Сохранение","Validation\Contexts\Save",
"MessageTemplateSkipNullOrEmptyValues","The ""{Id}"" rule was not checked because the target properties are not specified.","Правило “{Id}” не было проверено, так как не указаны целевые свойства.","Validation\ErrorMessageTemplates\RuleBase",
"MessageTemplateTargetDoesNotSatisfyTargetCriteria","The ""{Id}"" rule was not checked because the target object does not satisfy rule's target criteria.","Правило “{Id}” не была проверено, так как целевой объект не соответствует критерию правила.","Validation\ErrorMessageTemplates\RuleBase",
"MessageTemplateTargetDoesNotSatisfyCollectionCriteria","The ""{Id}"" rule was not checked because the target is not an element of the ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"" collection.","Правило “{Id}” не было проверено, так как цель не является элементом коллекции ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"".","Validation\ErrorMessageTemplates\RuleCollectionProperty",
"MessageTemplateCollectionValidationMessageSuffix","(For the ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"" collection elements).","(Для элементов коллекции ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"").","Validation\ErrorMessageTemplates\RuleCollectionProperty",
"MessageTemplateCombinationOfPropertiesMustBeUnique","Combination of the following properties must be unique: {FormattedTargetProperties}.","Комбинация из следующих свойств должна быть уникальной: {FormattedTargetProperties}.","Validation\ErrorMessageTemplates\RuleCombinationOfPropertiesIsUnique",
"MessageTemplateFoundObjects","The following objects are found: ","Найдены следующие объекты:","Validation\ErrorMessageTemplates\RuleCombinationOfPropertiesIsUnique",
"MessageTemplateMustSatisfyCriteria","The ""{TargetObject}"" object must satisfy the following criteria: ""{Criteria}"".","Объект ""{TargetObject}"" должен удовлетворять следующему критерию: ""{Criteria}"".","Validation\ErrorMessageTemplates\RuleCriteria",
"MessageTemplateMustBeTrue","""{TargetPropertyName}"" must be set to true.","Значение ""{TargetPropertyName}"" должно быть истинным.","Validation\ErrorMessageTemplates\RuleFromBoolProperty",
"MessageTemplateMustBeReferenced","The ""{TargetObject}"" object must be referenced.","Объект ""{TargetObject}"" должен быть ссылочным.","Validation\ErrorMessageTemplates\RuleIsReferenced",
"MessageTemplateFoundObjects","The following objects are found: ","Найдены следующие объекты:","Validation\ErrorMessageTemplates\RuleIsReferenced",
"MessageTemplateMustExist","The objects that satisfy the ""{Criteria}"" criteria must exist.","Должны существовать объекты, удовлетворяющие критерию ""{Criteria}"".","Validation\ErrorMessageTemplates\RuleObjectExists",
"MessageTemplateFoundObjects","The following objects are found: ","Найдены следующие объекты:","Validation\ErrorMessageTemplates\RuleObjectExists",
"MessageTemplateMustBeInRange","""{TargetPropertyName}"" must be within the ""{MinimumValue}"" and ""{MaximumValue}"" range, boundaries are included.","Значение ""{TargetPropertyName}"" должно быть в пределах диапазона от ""{MinimumValue}"" до ""{MaximumValue}"",  включая границы.","Validation\ErrorMessageTemplates\RuleRange",
"MessageTemplateMustMatchPattern","""{TargetPropertyName}"" must match the following pattern: ""{Pattern}"".","Значение ""{TargetPropertyName}"" должно соответствовать следующему регулярному выражению: ""{Pattern}"".","Validation\ErrorMessageTemplates\RuleRegularExpression",
"MessageTemplateMustNotBeEmpty","""{TargetPropertyName}"" must not be empty.","Значение ""{TargetPropertyName}"" не должно быть пустым.","Validation\ErrorMessageTemplates\RuleRequiredField",
"MessageTemplateFoundObjects","The following objects are found: ","Найдены следующие объекты:","Validation\ErrorMessageTemplates\RuleSearchObject",
"MessageTemplateMustContain","""{TargetPropertyName}"" must contain ""{OperandValue}"".","Значение ""{TargetPropertyName}"" должно содержать ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeginWith","""{TargetPropertyName}"" must begin with ""{OperandValue}"".","Значение ""{TargetPropertyName}"" должно начинаться с ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustEndWith","""{TargetPropertyName}"" must end with ""{OperandValue}"".","Значение ""{TargetPropertyName}"" должно заканчиваться на ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeEqual","""{TargetPropertyName}"" must be equal to ""{OperandValue}"".","Значение ""{TargetPropertyName}"" должно быть равно ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustNotBeEqual","""{TargetPropertyName}"" must not be equal to ""{OperandValue}"".","Значение ""{TargetPropertyName}"" не должно быть равно ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeUnique","There is an object with the same value specified for ""{TargetPropertyName}"". ""{TargetPropertyName}"" values must be unique.","Существует объект с тем же значением ""{TargetPropertyName}"". Значение ""{TargetPropertyName}"" должно быть уникальным.","Validation\ErrorMessageTemplates\RuleUniqueValue",
"MessageTemplateMustBeEqualToOperand","""{TargetPropertyName}"" must be equal to ""{RightOperand}"".","Значение ""{TargetPropertyName}"" должно быть равно ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOperand","""{TargetPropertyName}"" must be greater than ""{RightOperand}"".","Значение ""{TargetPropertyName}"" должно быть больше ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOrEqualToOperand","""{TargetPropertyName}"" must be greater than or equal to ""{RightOperand}"".","Значение ""{TargetPropertyName}"" должно быть больше или равно ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOperand","""{TargetPropertyName}"" must be less than ""{RightOperand}"".","Значение ""{TargetPropertyName}"" должно быть меньше ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOrEqualToOperand","""{TargetPropertyName}"" must be less than or equal to ""{RightOperand}"".","Значение ""{TargetPropertyName}"" должно быть меньше или равно ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustNotBeEqualToOperand","""{TargetPropertyName}"" must not be equal to ""{RightOperand}"".","Значение ""{TargetPropertyName}"" не должно быть равно  ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"Caption","Rule Details","Информация о правиле","Views\DisplayableValidationResultItem_DetailView\Items\RuleProperties",
"Caption","Displayable Validation Result Item","Элемент отображаемого результата проверки","Views\DisplayableValidationResultItem_DetailView\Layout\Main\SimpleEditors\DisplayableValidationResultItem",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleBaseProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleCollectionPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Свойства правила для поиска объекта","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Свойства правила для поиска объекта","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Свойства правила для поиска объекта","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Range Properties","Свойства правила проверяющего диапазон","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleRangeProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Свойства правила для поиска объекта","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule String Comparison Properties","Свойства правила для сравнения строк","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleStringComparisonProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleSupportsCollectionAggregatesProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Value Comparison Properties","Свойства правила для сравнения значений","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleValueComparisonProperties",
"Caption","IRule Base Properties","Базовые свойства правила","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleBaseProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Свойства правила для поиска объекта","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Свойства правила для поиска объекта","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Свойства правила для поиска объекта","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Range Properties","Свойства правила для проверки диапазона","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleRangeProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Свойства правила для поиска объекта","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Validation Error","Ошибки при контроле данных","Views\RuleSetValidationResult_ByTarget_Error_DetailView",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","При контроле данных обнаружены проблемы. Ниже приведена информация об ошибках и способах их исправления.","Views\RuleSetValidationResult_ByTarget_Error_DetailView\Items\ValidationResultsText",
"Caption","Context","Контекст","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextCaption",
"Caption","ContextId","Идентификатор контекста","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextId",
"Caption","Description","Описание","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ErrorMessage",
"Caption","Rule Set Validation Result Item","Элемент результата проверки набора правил","Views\RuleSetValidationResultItem_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule Set Validation Result Item","Элемент результата проверки набора правил","Views\RuleSetValidationResultItemAggregate_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule String Comparison Properties","Свойства правила для сравнения строк","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleStringComparisonProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Свойства правила для поиска объекта","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Value Comparison Properties","Свойства правила для сравнения значений","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleValueComparisonProperties",
"Caption","Rule Base Properties","Базовые свойства правил","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","При контроле данных обнаружены проблемы. Ниже приведена информация об ошибках и способах их исправления.","Views\ValidationResults_Error_DetailView\Items\ValidationResultsText",
"Text","No problems were detected.","Проблем не обнаружено.","Views\ValidationResults_Passed_DetailView\Items\ValidationResultsText",
"Value","Validation error","Ошибка при контроле данных","Localization\Messages\ValidationErrorMessage",
"Value","Clear settings","Сброс параметров","Localization\ChartModule\ClearSettings",
"Value","Invoke Wizard","Вызвать мастер","Localization\ChartModule\InvokeWizard",
"Caption","Clone...","Клонировать...","ActionDesign\Actions\CloneObject",
"ToolTip","Clone object","Клонировать объект","ActionDesign\Actions\CloneObject",
"Caption","MarkCompleted","Завершить","ActionDesign\Actions\Task.MarkCompleted",
"Caption","Base Audited Object Weak Reference","Базовая ссылка на объект аудита","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference",
"Caption","Display Name","Отображаемое имя","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\DisplayName",
"Caption","Guid Id","GUID идентификатор","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\GuidId",
"Caption","Int Id","Целочисленный идентификатор","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\IntId",
"Caption","Address","Адрес","BOModel\DevExpress.Persistent.BaseImpl.Address",
"Caption","Street","Улица","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Street",
"Caption","City","Город","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\City",
"Caption","State Province","Область/Штат","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\StateProvince",
"Caption","Zip Postal","Почтовый индекс","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\ZipPostal",
"Caption","Country","Страна","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Country",
"Caption","Full Address","Полный адрес","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\FullAddress",
"Caption","Analysis","Анализ","BOModel\DevExpress.Persistent.BaseImpl.Analysis",
"Caption","Name","Имя","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Name",
"Caption","Criteria","Критерий","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Criteria",
"Caption","Self","Сущность","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Self",
"Caption","Data Type","Тип данных","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\DataType",
"Caption","Audit Data Item Persistent","Хранимый элемент аудита","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent",
"Caption","User Name","Имя пользователя","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\UserName",
"Caption","Modified On","Дата и время изменения","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\ModifiedOn",
"Caption","Operation Type","Тип операции","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OperationType",
"Caption","Description","Описание","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\Description",
"Caption","Old Value","Старое значение","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OldValue",
"Caption","New Value","Новое значение","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\NewValue",
"Caption","Property Name","Название свойства","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\PropertyName",
"Caption","Audited Object Weak Reference","Слабая ссылка на объект аудита","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference",
"Caption","Audit Data Items","Элементы аудита","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference\OwnMembers\AuditDataItems",
"Caption","Base Object","Базовый объект","BOModel\DevExpress.Persistent.BaseImpl.BaseObject",
"Caption","User","Пользователь","BOModel\DevExpress.Persistent.BaseImpl.BasicUser",
"Caption","User Name","Имя пользователя","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\UserName",
"Caption","Full Name","Полное имя","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\FullName",
"Caption","Is Active","Активен","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsActive",
"Caption","Is Administrator","Является администратором","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Изменить пароль при первом входе в систему","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Country","Страна","BOModel\DevExpress.Persistent.BaseImpl.Country",
"Caption","Name","Имя","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\Name",
"Caption","Phone Code","Телефонный код","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\PhoneCode",
"Caption","Scheduler Event","Событие планировщика","BOModel\DevExpress.Persistent.BaseImpl.Event",
"Caption","Subject","Тема","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Subject",
"Caption","Description","Описание","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Description",
"Caption","Start Date/Time","Дата/Время начала","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\StartOn",
"Caption","End Date/Time","Дата/Время окончания","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\EndOn",
"Caption","All Day","Весь день","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\AllDay",
"Caption","Location","Расположение","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Location",
"Caption","Label","Метка","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Label",
"Caption","Status","Статус","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Status",
"Caption","Resources","Ресурсы","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Resources",
"Caption","Recurrence Info Xml","Повторение","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrenceInfoXml",
"Caption","Recurrence Pattern","Шаблон повторения","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrencePattern",
"Caption","File Attachment Base","Базовое файловое вложение","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase",
"Caption","File","Файл","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase\OwnMembers\File",
"Caption","File Data","Данные файла","BOModel\DevExpress.Persistent.BaseImpl.FileData",
"Caption","Size","Размер","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\Size",
"Caption","File Name","Имя файла","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\FileName",
"Caption","HCategory","Иерархическая категория","BOModel\DevExpress.Persistent.BaseImpl.HCategory",
"Caption","Children","Потомки","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Children",
"Caption","Parent","Предок","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Parent",
"Caption","Name","Имя","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Name",
"Caption","Note","Заметка","BOModel\DevExpress.Persistent.BaseImpl.Note",
"Caption","Author","Автор","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Author",
"Caption","Date Time","Дата и время","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\DateTime",
"Caption","Text","Текст","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Text",
"Caption","Oid Generator","Генератор идентификаторов объектов","BOModel\DevExpress.Persistent.BaseImpl.OidGenerator",
"Caption","Organization","Организация","BOModel\DevExpress.Persistent.BaseImpl.Organization",
"Caption","Full Name","Полное имя","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\FullName",
"Caption","Profile","Профиль","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Profile",
"Caption","Email","E-Mail","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Email",
"Caption","Web Site","Веб-сайт","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\WebSite",
"Caption","Description","Описание","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Description",
"Caption","Name","Наименование","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Name",
"Caption","Party","Субъект","BOModel\DevExpress.Persistent.BaseImpl.Party",
"Caption","Photo","Фото","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Photo",
"Caption","Address 1","Адрес 1","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address1",
"Caption","Address 2","Адрес 2","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address2",
