"Property Name",,"ru","Node Path","Description"
"Value","Category: {0}\r\nCode: {1}\r\nText: {2}.","Категория: {0}\r\nКод: {1}\r\nТекст: {2}.","Localization\Controls\ServerLog\EmailBodyTemplate",
"Value","Execution of function '{0}' was successfully finished.","Выполнение функции {0} успешно завершено.","Localization\Controls\ServerLog\FunctionExecutionFinished",
"Value","Execution of function '{0}' was started.","Выполнение функции {0} начато.","Localization\Controls\ServerLog\FunctionExecutionStarted",
"Value","Attempt to call a function with incorrect syntax.\r\nCommand: {0}.","Предпринята попытка вызвать функцию на сервере, используя неверный синтаксис.\r\nКоманда: {0}.","Localization\Controls\ServerLog\FunctionIncorrectSyntax",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response is empty.","Обращение к службе совместимости для получения информации и модуле. (Имя иодуля \""{0}\""). Ответ пустой.","Localization\Controls\ServerLog\GetModuleEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Response is empty.","Обращение к службе совместимости для получения списка модулей. Ответ пустой.","Localization\Controls\ServerLog\GetModulesEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Modules have been successfully obtained.","Обращение к службе совместимости для получения списка модулей. Модули получены.","Localization\Controls\ServerLog\GetModulesSuccess",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response: {1}.","Обращение к службе совместимости для получения модуля (имя модуля '{0}'). Ответ: {1}.","Localization\Controls\ServerLog\GetModuleSuccess",
"Value","Invalid arguments list for function: '{0}.{1}'.  Cannot find the following parameters: ","Неверный список аргументов для функции: {0}.{1}.  Не удается найти следующие параметры:","Localization\Controls\ServerLog\InvalidArgumentsList",
"Value","Module info:\r\n Name: {0};\r\nVersion: {1};\r\nIsMain: {2};\r\nAssembly file name: {3};","Информация о модуле:\r\n Имя: {0};\r\nВерсия: {1};\r\nОсновной: {2};\r\nИмя файла сборки: {3};","Localization\Controls\ServerLog\ModuleInfoText",
"Value","Object: ","Объект:","Localization\Controls\ServerLog\Object",
"Value","Objects: ","Объекты:","Localization\Controls\ServerLog\Objects",
"Value","Objects for delete:","Объекты для удаления:","Localization\Controls\ServerLog\ObjectsForDelete",
"Value","Objects for save:","Объекты для сохранения:","Localization\Controls\ServerLog\ObjectsForSave",
"Value","Object types: ","Типы объектов:","Localization\Controls\ServerLog\ObjectTypes",
"Value","Operation {0} was completed successfully.\r\nUserId: {1}. UserName {2}.","Операция {0} успешно завершена.","Localization\Controls\ServerLog\OperationCompleted",
"Value","Operation {0} was failed.\r\n{1}","Операция {0} выполнилась со сбоями.\r\n{1}","Localization\Controls\ServerLog\OperationFailed",
"Value","Operation {0} call has been received.","Запрос на операцию {0} получен.","Localization\Controls\ServerLog\OperationRequest",
"Value","Operation Result: {0}","Результат операции: {0}","Localization\Controls\ServerLog\OperationResultTemplate",
"Value","Owner object:","Владелец:","Localization\Controls\ServerLog\OwnerObject",
"Value","Properties: ","Свойства:","Localization\Controls\ServerLog\Properties",
"Value","Property: ","Свойство:","Localization\Controls\ServerLog\Property",
"Value","RefPropertyName: ","Имя ссылочного свойства:","Localization\Controls\ServerLog\RefPropertyName",
"Value","Connection string for scheme '{0}' is not supported.","Строка соединения для схемы '{0}' не поддерживается.","Localization\Controls\ServerLog\SchemeIsNotSupported",
"Value","Starting the Application Server.","Старт сервера приложений.","Localization\Controls\ServerLog\StartingAppServer",
"Value","ActionContainer","Контейнер действий","Localization\DashboardOrganizationItems\ActionContainer",
"Value","Image","Изображение","Localization\DashboardOrganizationItems\StaticImage",
"Value","Text","Текст","Localization\DashboardOrganizationItems\StaticText",
"Value","&Abort","&Прервать","Localization\DialogButtons\Abort",
"Value","Add","Добавить","Localization\DialogButtons\Add",
"Value","Apply","Применить","Localization\DialogButtons\Apply",
"Value","< Back","< Назад","Localization\DialogButtons\Back",
"Value","&Cancel","&Отменить","Localization\DialogButtons\Cancel",
"Value","C&lear","О&чистить","Localization\DialogButtons\Clear",
"Value","Close","Закрыть","Localization\DialogButtons\Close",
"Value","Find","Найти","Localization\DialogButtons\Find",
"Value","&Ignore","&Игнорировать","Localization\DialogButtons\Ignore",
"Value","Next >","Далее >","Localization\DialogButtons\Next",
"Value","&No","&Нет","Localization\DialogButtons\No",
"Value","&OK","&ОК","Localization\DialogButtons\OK",
"Value","Remove","Удалить","Localization\DialogButtons\Remove",
"Value","&Retry","&Повторить","Localization\DialogButtons\Retry",
"Value","&Yes","&Да","Localization\DialogButtons\Yes",
"Value","View Item Visibility","Видимость элемента представления","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Скрывать","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Показать","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Оставить пустое место","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,"Видимость элемента панели","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Скрытый","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"Видимый","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Видимость панели инструментов","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","По умолчанию","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Скрыть","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Показать","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","Невозможно создать действие для метода {0} класса {1}. Метод не должен быть параметризованным","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","Невозможно создать действие для метода {0} класса {1}. Метод не должен принимать параметры","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","ObjectSpace уже был назначен другому корневому представлению: '{0}'. Эта ошибка возникает только тогда, когда вы попытаетесь присвоить корневому представлению ObjectSpace, который уже используется другим корневым представлением. Например, вы можете получить эту ошибку при использовании методов XafApplication.CreateDetailView/CreateListView в ViewController и передаче объекта View.ObjectSpace в качестве параметра для этих методов, когда значение View.IsRoot равно True.\r\n Чтобы избежать этой ошибки, достаточно создать новый экземпляр ObjectSpace с помощью метода XafApplication.CreateObjectSpace в этих методах, или создать некорневое представление путем передачи соответствующего параметра для этих методов.\r\n Если это не поможет, обратитесь в нашу Службу Поддержки на http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Произошла ошибка при загрузке модели. Источник: '{0}'","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Произошла ошибка при обработке клавиатурной команды: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","Произошла ошибка, контекст: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Не сохраненный объект не может быть показан","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","Приложение не запущено","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","Приложение не может быть обновлено, потому что сборка '{1}' отсутствует в папке '{0}'.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","Не удается запустить приложение. База данных имеет более позднюю версию, чем версия приложения, а сервер с новой версией приложения не найден. Попросите администратора проверить, что файл конфигурации содержит правильный путь к новой версии приложения.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Не удалось изменить атрибут","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","Атрибут '{0}' должен начинаться с символа '@': '{1}'","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","updatingReadOnlyDataStore.AutoCreateOption является {0}","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Вы не можете получить доступ к Collection свойству, потому что Collection Source в данный момент инициализируется. Эта ошибка может возникнуть, например, когда вы пытаетесь получить доступ к коллекции в методе OnActivated контроллера. Чтобы избежать этой ошибки, следует обращаться к коллекции позже, когда Collection Source уже инициализирован Лучший способ сделать это – подписаться на событие CollectionChanged. Обратитесь к документации продукта для получения более подробной информации по этим классам и методам. Если это не поможет, обратитесь в нашу Службу Поддержки на http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","Невозможно добавить коллекцию '{0}'","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","Невозможно добавить дубликат редактора свойства: '{0}'","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","Невозможно добавить к пустому синглетону. Создайте новый экземпляр коллекции","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","Невозможно создать подходящий детальный элемент '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","Невозможно создать подходящий редактор свойства для свойства '{0}.{1}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","Невозможно изменить схему для атрибута","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","Невозможно создать шаблон по названию: '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Невозможно найти наследника класса XafApplication чтобы определить настройки вашего приложения в следующих папках: {0} Для Windows Forms приложения, папка должна содержать исполняемый файл приложения. Для ASP.NET приложения, папка должна содержать сборку содержащую ваш наследник WebApplication.","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","Невозможно найти списочное представление с ID= '{0}'","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Элемент '{0}' в классе '{1}' не был найден","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","Не удается найти свойство '{0}' в классе '{1}'","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","Невозможно генерировать содержимое: атрибут 'ClassName' пуст","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","Не удается получить редактируемый объект","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","Невозможно обработать запрашиваемый url","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","Не удается обработать запрошенный URL, элемент действия '{0}' не был найден","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","Не удается прочитать словарь из ресурса '{0}' сборки '{1}'","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","Не удается установить EditValue по тексту '{0}', доступные значения: \r\n{1}","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","Не удается установить EditValue по тексту '{0}', список пуст","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","Невозможно отобразить представление, неизвестный контекст: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","Невозможно отобразить представление, неизвестная цель: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","Класс '{0}' не реализует интерфейс '{1}'","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
