"Property Name",,"it-IT","Node Path","Description"
"Value","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Sono stati rilevati problemi durante la convalida dei dati. Si prega di leggere le informazioni qui sotto per comprendere i problemi e come risolverli.","Localization\Exceptions\UserVisibleExceptions\Validation\SaveErrorMessageHeader",
"Value","No problems were detected.","No problems were detected.","Localization\Exceptions\UserVisibleExceptions\Validation\ValidationSucceededMessageHeader",
"Caption",,"Accettazione","Validation\Contexts\Accept",
"Caption","Delete","Eliminazione","Validation\Contexts\Delete",
"Caption",,"Salvataggio","Validation\Contexts\Save",
"MessageTemplateSkipNullOrEmptyValues","The ""{Id}"" rule was not checked because the target properties are not specified.","La regola ""{Id}"" non è stata verificata perché non sono state specificate le proprietà  di destinazione.","Validation\ErrorMessageTemplates\RuleBase",
"MessageTemplateTargetDoesNotSatisfyTargetCriteria","The ""{Id}"" rule was not checked because the target object does not satisfy rule's target criteria.","La regola ""{Id}"" non è stata verificata perché l'oggetto di destinazione non soddisfa i criteri di destinazione della regola.","Validation\ErrorMessageTemplates\RuleBase",
"MessageTemplateTargetDoesNotSatisfyCollectionCriteria","The ""{Id}"" rule was not checked because the target is not an element of the ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"" collection.","La regola ""{Id}"" non è stata verificata perché la destinazione non è un elemento dell'insieme ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"".","Validation\ErrorMessageTemplates\RuleCollectionProperty",
"MessageTemplateCollectionValidationMessageSuffix","(For the ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"" collection elements).","(Per gli elementi dell'insieme ""{TargetCollectionOwnerType}.{TargetCollectionPropertyName}"").","Validation\ErrorMessageTemplates\RuleCollectionProperty",
"MessageTemplateCombinationOfPropertiesMustBeUnique","Combination of the following properties must be unique: {FormattedTargetProperties}.","La combinazione delle seguenti proprietà  dove essere unica: {FormattedTargetProperties}.","Validation\ErrorMessageTemplates\RuleCombinationOfPropertiesIsUnique",
"MessageTemplateFoundObjects","The following objects are found: ","Sono stati trovati i seguenti oggetti: ","Validation\ErrorMessageTemplates\RuleCombinationOfPropertiesIsUnique",
"MessageTemplateMustSatisfyCriteria","The ""{TargetObject}"" object must satisfy the following criteria: ""{Criteria}"".","L'oggetto ""{TargetObject}"" deve soddisfare i seguenti criteri: ""{Criteria}"".","Validation\ErrorMessageTemplates\RuleCriteria",
"MessageTemplateMustBeTrue","""{TargetPropertyName}"" must be set to true.","""{TargetPropertyName}"" deve essere impostata su vero.","Validation\ErrorMessageTemplates\RuleFromBoolProperty",
"MessageTemplateMustBeReferenced","The ""{TargetObject}"" object must be referenced.","L'oggetto ""{TargetObject}"" deve essere referenziato.","Validation\ErrorMessageTemplates\RuleIsReferenced",
"MessageTemplateFoundObjects","The following objects are found: ","Sono stati trovati i seguenti oggetti: ","Validation\ErrorMessageTemplates\RuleIsReferenced",
"MessageTemplateMustExist","The objects that satisfy the ""{Criteria}"" criteria must exist.","Devono esistere oggetti che soddisfano i criteri ""{Criteria}"".","Validation\ErrorMessageTemplates\RuleObjectExists",
"MessageTemplateFoundObjects","The following objects are found: ","Sono stati trovati i seguenti oggetti: ","Validation\ErrorMessageTemplates\RuleObjectExists",
"MessageTemplateMustBeInRange","""{TargetPropertyName}"" must be within the ""{MinimumValue}"" and ""{MaximumValue}"" range, boundaries are included.","""{TargetPropertyName}"" deve essere compreso tra ""{MinimumValue}"" e ""{MaximumValue}"", estremi inclusi.","Validation\ErrorMessageTemplates\RuleRange",
"MessageTemplateMustMatchPattern","""{TargetPropertyName}"" must match the following pattern: ""{Pattern}"".","""{TargetPropertyName}"" deve corrispondere al modello seguente: ""{Pattern}"".","Validation\ErrorMessageTemplates\RuleRegularExpression",
"MessageTemplateMustNotBeEmpty","""{TargetPropertyName}"" must not be empty.","Il campo ""{TargetPropertyName}"" è obbligatorio.","Validation\ErrorMessageTemplates\RuleRequiredField",
"MessageTemplateFoundObjects","The following objects are found: ","Sono stati trovati i seguenti oggetti: ","Validation\ErrorMessageTemplates\RuleSearchObject",
"MessageTemplateMustContain","""{TargetPropertyName}"" must contain ""{OperandValue}"".","""{TargetPropertyName}"" deve contenere ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeginWith","""{TargetPropertyName}"" must begin with ""{OperandValue}"".","""{TargetPropertyName}"" deve iniziare con ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustEndWith","""{TargetPropertyName}"" must end with ""{OperandValue}"".","""{TargetPropertyName}"" deve terminare con ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeEqual","""{TargetPropertyName}"" must be equal to ""{OperandValue}"".","""{TargetPropertyName}"" deve essere uguale a ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustNotBeEqual","""{TargetPropertyName}"" must not be equal to ""{OperandValue}"".","""{TargetPropertyName}"" deve essere diverso da ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeUnique","There is an object with the same value specified for ""{TargetPropertyName}"". ""{TargetPropertyName}"" values must be unique.","Esiste già  un oggetto con lo stesso valore specificato per ""{TargetPropertyName}"". I valori ""{TargetPropertyName}"" devono essere univoci.","Validation\ErrorMessageTemplates\RuleUniqueValue",
"MessageTemplateMustBeEqualToOperand","""{TargetPropertyName}"" must be equal to ""{RightOperand}"".","""{TargetPropertyName}"" deve essere uguale a ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOperand","""{TargetPropertyName}"" must be greater than ""{RightOperand}"".","""{TargetPropertyName}"" deve essere maggiore di ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOrEqualToOperand","""{TargetPropertyName}"" must be greater than or equal to ""{RightOperand}"".","""{TargetPropertyName}"" deve essere maggiore o uguale a ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOperand","""{TargetPropertyName}"" must be less than ""{RightOperand}"".","""{TargetPropertyName}"" deve essere minore di ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOrEqualToOperand","""{TargetPropertyName}"" must be less than or equal to ""{RightOperand}"".","""{TargetPropertyName}"" deve essere minore o uguale a ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustNotBeEqualToOperand","""{TargetPropertyName}"" must not be equal to ""{RightOperand}"".","""{TargetPropertyName}"" deve essere diverso da ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"Caption","Rule Details","Dettagli Regola","Views\DisplayableValidationResultItem_DetailView\Items\RuleProperties",
"Caption","Displayable Validation Result Item","Elemento Visualizzabile Risultato Convalida","Views\DisplayableValidationResultItem_DetailView\Layout\Main\SimpleEditors\DisplayableValidationResultItem",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleBaseProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleCollectionPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Proprietà  della IRule 'Cerca Oggetto'","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Proprietà  della IRule 'Cerca Oggetto'","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Proprietà  della IRule 'Cerca Oggetto'","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Range Properties","Proprietà  della IRule 'Intervallo'","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleRangeProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","Proprietà  della IRule 'Cerca Oggetto'","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule String Comparison Properties","Proprietà  della IRule 'Confronto Stringhe'","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleStringComparisonProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleSupportsCollectionAggregatesProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Value Comparison Properties","Proprietà  della IRule 'Confronto Valore'","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleValueComparisonProperties",
"Caption","IRule Base Properties","Proprietà  Base di IRule","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleBaseProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Proprietà  Regola 'Cerca Oggetto'","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Proprietà  Regola 'Cerca Oggetto'","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Proprietà  Regola 'Cerca Oggetto'","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Range Properties","Proprietà  della Regola 'Intervallo'","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleRangeProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Proprietà  Regola 'Cerca Oggetto'","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Validation Error","Errore Convalida","Views\RuleSetValidationResult_ByTarget_Error_DetailView",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Sono stati rilevati problemi durante la convalida dei dati. Si prega di leggere le informazioni qui sotto per comprendere i problemi e come risolverli.","Views\RuleSetValidationResult_ByTarget_Error_DetailView\Items\ValidationResultsText",
"Caption","Context","Contesto","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextCaption",
"Caption","ContextId","IdContesto","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextId",
"Caption","Description","Descrizione","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ErrorMessage",
"Caption","Rule Set Validation Result Item","Elemento del Risultato di Convalida dell'Insieme di Regole","Views\RuleSetValidationResultItem_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule Set Validation Result Item","Elemento del Risultato di Convalida dell'Insieme di Regole","Views\RuleSetValidationResultItemAggregate_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule String Comparison Properties","Proprietà  della Regola 'Confronto Stringhe'","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleStringComparisonProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Proprietà  Regola 'Cerca Oggetto'","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Value Comparison Properties","Proprietà  della Regola 'Confronto Valori'","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleValueComparisonProperties",
"Caption","Rule Base Properties","Proprietà  di Base della Regola","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Sono stati rilevati problemi durante la convalida dei dati. Si prega di leggere le informazioni qui sotto per comprendere i problemi e come risolverli.","Views\ValidationResults_Error_DetailView\Items\ValidationResultsText",
"Text","No problems were detected.","Nessun problema riscontrato.","Views\ValidationResults_Passed_DetailView\Items\ValidationResultsText",
"Value","Validation error","Errore Convalida","Localization\Messages\ValidationErrorMessage",
"Value","Clear settings","Pulisci Impostazioni","Localization\ChartModule\ClearSettings",
"Value","Invoke Wizard","Avvia Procedura Guidata","Localization\ChartModule\InvokeWizard",
"Caption","Clone...","Clona...","ActionDesign\Actions\CloneObject",
"ToolTip","Clone object","Clona l'oggetto selezionato.","ActionDesign\Actions\CloneObject",
"Caption","MarkCompleted","Segna Come Completata","ActionDesign\Actions\Task.MarkCompleted",
"Caption","Base Audited Object Weak Reference","Riferimento Debole Oggetto Analizzato Base","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference",
"Caption","Display Name","Nome Visualizzato","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\DisplayName",
"Caption","Guid Id","Id Guid","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\GuidId",
"Caption","Int Id","Id Int","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\IntId",
"Caption","Address","Indirizzo","BOModel\DevExpress.Persistent.BaseImpl.Address",
"Caption","Street","Via","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Street",
"Caption","City","Città ","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\City",
"Caption","State Province","Provincia/Stato","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\StateProvince",
"Caption","Zip Postal","CAP","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\ZipPostal",
"Caption","Country","Paese","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Country",
"Caption","Full Address","Indirizzo Completo","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\FullAddress",
"Caption","Analysis","Analisi","BOModel\DevExpress.Persistent.BaseImpl.Analysis",
"Caption","Name","Nome","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Name",
"Caption","Criteria","Criteri","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Criteria",
"Caption","Self","Se Stesso","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Self",
"Caption","Data Type","Tipo Dati","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\DataType",
"Caption","Audit Data Item Persistent","Elemento Dati Analisi Persistitente","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent",
"Caption","User Name","Nome Utente","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\UserName",
"Caption","Modified On","Modificato il","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\ModifiedOn",
"Caption","Operation Type","Tipo Operazione","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OperationType",
"Caption","Description","Descrizione","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\Description",
"Caption","Old Value","Valore Originale","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OldValue",
"Caption","New Value","Nuovo Valore","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\NewValue",
"Caption","Property Name","Nome Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\PropertyName",
"Caption","Audited Object Weak Reference","Riferimento Debole Oggetto Analizzato","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference",
"Caption","Audit Data Items","Elementi Dati Analisi","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference\OwnMembers\AuditDataItems",
"Caption","Base Object","Oggetto Base","BOModel\DevExpress.Persistent.BaseImpl.BaseObject",
"Caption","User","Utente","BOModel\DevExpress.Persistent.BaseImpl.BasicUser",
"Caption","User Name","Nome Utente","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\UserName",
"Caption","Full Name","Nome Completo","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\FullName",
"Caption","Is Active","Attivo","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsActive",
"Caption","Is Administrator","Amministratore","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Modifica password all'accesso successivo","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Country","Paese","BOModel\DevExpress.Persistent.BaseImpl.Country",
"Caption","Name","Nome","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\Name",
"Caption","Phone Code","Prefisso","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\PhoneCode",
"Caption","Event","Evento Utilità  di pianificazione","BOModel\DevExpress.Persistent.BaseImpl.Event",
"Caption","Subject","Oggetto","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Subject",
"Caption","Description","Descrizione","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Description",
"Caption","Start On","Data/Ora Inizio","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\StartOn",
"Caption","End On","Data/Ora Fine","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\EndOn",
"Caption","All Day","Giornata Intera","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\AllDay",
"Caption","Location","Luogo","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Location",
"Caption","Label","Etichetta","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Label",
"Caption","Status","Stato","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Status",
"Caption","Resources","Risorse","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Resources",
"Caption","Recurrence Info Xml","Ricorrenza","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrenceInfoXml",
"Caption","Recurrence Pattern","Criterio Ricorrenza","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrencePattern",
"Caption","File Attachment Base","File Allegato Base","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase",
"Caption","File","File","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase\OwnMembers\File",
"Caption","File Data","File di Dati","BOModel\DevExpress.Persistent.BaseImpl.FileData",
"Caption","Size","Dimensione","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\Size",
"Caption","File Name","Nome File","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\FileName",
"Caption","HCategory","Categoria Gerarchica","BOModel\DevExpress.Persistent.BaseImpl.HCategory",
"Caption","Children","Figli","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Children",
"Caption","Parent","Padre","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Parent",
"Caption","Name","Nome","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Name",
"Caption","Note","Note","BOModel\DevExpress.Persistent.BaseImpl.Note",
"Caption","Author","Autore","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Author",
"Caption","Date Time","Data Ora","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\DateTime",
"Caption","Text","Testo","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Text",
"Caption","Oid Generator","Generatore Oid","BOModel\DevExpress.Persistent.BaseImpl.OidGenerator",
"Caption","Organization","Organizzazione","BOModel\DevExpress.Persistent.BaseImpl.Organization",
"Caption","Full Name","Nome Completo","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\FullName",
"Caption","Profile","Profilo","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Profile",
"Caption","Email","Email","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Email",
"Caption","Web Site","Sito Web","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\WebSite",
"Caption","Description","Descrizione","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Description",
"Caption","Name","Nome","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Name",
"Caption","Party","Contatto","BOModel\DevExpress.Persistent.BaseImpl.Party",
"Caption","Photo","Foto","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Photo",
"Caption","Address 1","Indirizzo 1","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address1",
"Caption","Address 2","Indirizzo 2","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address2",
"Caption","Display Name","Nome Visualizzato","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\DisplayName",
"Caption","Phone Numbers","Numeri Telefonici","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\PhoneNumbers",
"Caption","Persistent Permission","Autorizzazioni Persistenti","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission",
"Caption","Role","Ruolo","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission\OwnMembers\Role",
"Caption","Permission","Autorizzazione","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission\OwnMembers\Permission",
"Caption","Person","Persona","BOModel\DevExpress.Persistent.BaseImpl.Person",
"Caption","First Name","Nome","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\FirstName",
"Caption","Last Name","Cognome","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\LastName",
"Caption","Middle Name","Secondo Nome","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\MiddleName",
"Caption","Birthday","Data di Nascita","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\Birthday",
"Caption","Full Name","Nome Completo","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\FullName",
"Caption","Email","Email","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\Email",
"Caption","Phone Number","Numero di Telefono","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber",
"Caption","Number","Numero","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\Number",
"Caption","Party","Contatto","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\Party",
"Caption","Phone Type","Tipo di Telefono","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\PhoneType",
"Caption","Phone Type","Tipo di Telefono","BOModel\DevExpress.Persistent.BaseImpl.PhoneType",
"Caption","Type Name","Nome Tipo","BOModel\DevExpress.Persistent.BaseImpl.PhoneType\OwnMembers\TypeName",
"Caption","Property Bag","Contenitore Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.PropertyBag",
"Caption","Property Bag Descriptor","Descrittore Contenitore Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.PropertyBagDescriptor",
"Caption","Property Descriptors","Descrittori Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.PropertyBagDescriptor\OwnMembers\PropertyDescriptors",
"Caption","Property Descriptor","Descrittore Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor",
"Caption","Property Bags","Contenitori Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\PropertyBags",
"Caption","Code","Codice","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Code",
"Caption","Name","Nome","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Name",
"Caption","Description","Descrizione","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Description",
"Caption","Type","Tipo","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Type",
"Caption","Value Type","Tipo Valore","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\ValueType",
"Caption","Property Value","Valore Proprietà ","BOModel\DevExpress.Persistent.BaseImpl.PropertyValue",
"Caption","Resource","Risorsa","BOModel\DevExpress.Persistent.BaseImpl.Resource",
"Caption","Caption","Didascalia","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Caption",
