"Property Name",,"it-IT","Node Path","Description"
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","L'applicazione non può essere aggiornata perché l'assembly '{1}' non esiste nella cartella '{0}'.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","Impossibile eseguire l'applicazione. La versione del database è più recente rispetto alla versione dell'applicazione, ma non è stato trovato il server con la nuova versione dell'applicazione. Chiedere all'amministratore di controllare che il file di configurazione contenga un percorso corretto per la nuova versione dell'applicazione.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Modifica dell'attributo non riuscita.","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","L'attributo '{0}' deve iniziare con il simbolo '@' : '{1}'.","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","Il valore di UpdatingReadOnlyDataStore.AutoCreateOption è '{0}'.","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Non è possibile accedere alla proprietà Collection perché la Collection Source è in fase di inizializzazione. Questo errore può verificarsi, ad esempio, quando si tenta di accedere alla proprietà Collection nel metodo OnActivated di un ViewController. Per evitare questo errore, è necessario accedere alla proprietà Collection in un secondo momento, quando la Collection Source è già inizializzata. Il modo migliore per farlo è gestendo l'evento CollectionChanged. Fare riferimento alla documentazione del prodotto per informazioni più dettagliate su queste classi e metodi. Se questo non funziona, si prega di contattare il nostro team di supporto a http://www.devexpress.com/Support/Center/.","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","Impossibile aggiungere la Collection '{0}'.","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","Impossibile aggiungere Property Editor duplicati: '{0}'.","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","Impossibile aggiungere ad una Singleton vuota. Creare la nuova istanza della Collection.","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","Impossibile creare un Detail Item appropriato per '{0}'.","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
