"Property Name",,"hr","Node Path","Description"
"MessageTemplateMustNotBeEqual","""{TargetPropertyName}"" must not be equal to ""{OperandValue}"".","""{TargetPropertyName}"" mora biti različit od ""{OperandValue}"".","Validation\ErrorMessageTemplates\RuleStringComparison",
"MessageTemplateMustBeUnique","There is an object with the same value specified for ""{TargetPropertyName}"". ""{TargetPropertyName}"" values must be unique.","Postoji objekt s istom vrijednošću za ""{TargetPropertyName}"". ""{TargetPropertyName}"" vrijednosti moraju biti jedinstvene.","Validation\ErrorMessageTemplates\RuleUniqueValue",
"MessageTemplateMustBeEqualToOperand","""{TargetPropertyName}"" must be equal to ""{RightOperand}"".","""{TargetPropertyName}"" mora biti jednak ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOperand","""{TargetPropertyName}"" must be greater than ""{RightOperand}"".","""{TargetPropertyName}"" mora biti veći od ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeGreaterThanOrEqualToOperand","""{TargetPropertyName}"" must be greater than or equal to ""{RightOperand}"".","""{TargetPropertyName}"" mora biti veći ili jednak ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOperand","""{TargetPropertyName}"" must be less than ""{RightOperand}"".","""{TargetPropertyName}"" mora biti manji od ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustBeLessThanOrEqualToOperand","""{TargetPropertyName}"" must be less than or equal to ""{RightOperand}"".","""{TargetPropertyName}"" mora biti manji ili jednak od ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"MessageTemplateMustNotBeEqualToOperand","""{TargetPropertyName}"" must not be equal to ""{RightOperand}"".","""{TargetPropertyName}"" mora biti različit od ""{RightOperand}"".","Validation\ErrorMessageTemplates\RuleValueComparison",
"Caption","Rule Details","Detalji Pravila","Views\DisplayableValidationResultItem_DetailView\Items\RuleProperties",
"Caption","Displayable Validation Result Item","Displayable Validation Result Item","Views\DisplayableValidationResultItem_DetailView\Layout\Main\SimpleEditors\DisplayableValidationResultItem",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleBaseProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleCollectionPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Range Properties","IRule Range Properties","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleRangeProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleRangeProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Search Object Properties","IRule Search Object Properties","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleSearchObjectProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule String Comparison Properties","IRule String Comparison Properties","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleStringComparisonProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleSupportsCollectionAggregatesProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","IRule Value Comparison Properties","IRule Value Comparison Properties","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleValueComparisonProperties",
"Caption","IRule Base Properties","IRule Base Properties","Views\IRuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\IRuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleBaseProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleCombinationOfPropertiesIsUniqueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleCriteriaProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleFromBoolPropertyProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleIsReferencedProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleObjectExistsProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RulePropertyValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Range Properties","Rule Range Properties","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleRangeProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleRangeProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleRegularExpressionProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleRequiredFieldProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleSearchObjectProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Validation Error","Validation Error","Views\RuleSetValidationResult_ByTarget_Error_DetailView",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Tijekom validacije podataka, pojavili su se problemi. Pročitajte informacije niže kako bi saznali koji problemi su se pojavili i kako ih otkloniti. ","Views\RuleSetValidationResult_ByTarget_Error_DetailView\Items\ValidationResultsText",
"Caption","Context","Context","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextCaption",
"Caption","ContextId","ContextId","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ContextId",
"Caption","Description","Opis","Views\RuleSetValidationResultItem_ByTarget_ListView\Columns\ErrorMessage",
"Caption","Rule Set Validation Result Item","Rule Set Validation Result Item","Views\RuleSetValidationResultItem_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule Set Validation Result Item","Rule Set Validation Result Item","Views\RuleSetValidationResultItemAggregate_DetailView\Layout\Main\SimpleEditors\RuleSetValidationResultItem",
"Caption","Rule String Comparison Properties","Rule String Comparison Properties","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleStringComparisonProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleStringComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Search Object Properties","Rule Search Object Properties","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleSearchObjectProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleUniqueValueProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Caption","Rule Value Comparison Properties","Rule Value Comparison Properties","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleValueComparisonProperties",
"Caption","Rule Base Properties","Rule Base Properties","Views\RuleValueComparisonProperties_DetailView\Layout\Main\SimpleEditors\RuleBaseProperties",
"Text","Problems were detected during data validation. Please read the information below to understand what the issues are and how you can correct them.","Tijekom validacije podataka, pojavili su se problemi. Pročitajte informacije niže kako bi saznali koji problemi su se pojavili i kako ih otkloniti. ","Views\ValidationResults_Error_DetailView\Items\ValidationResultsText",
"Text","No problems were detected.","Nije se pojavio ni jedan problem. ","Views\ValidationResults_Passed_DetailView\Items\ValidationResultsText",
"Value","Validation error","Greška kod provjere","Localization\Messages\ValidationErrorMessage",
"Value","Clear settings","Očisti postavke","Localization\ChartModule\ClearSettings",
"Value","Invoke Wizard","Pokreni čarobnjak","Localization\ChartModule\InvokeWizard",
"Caption","Clone...","Kloniraj...","ActionDesign\Actions\CloneObject",
"ToolTip","Clone object","Kloniraj objekt","ActionDesign\Actions\CloneObject",
"Caption","MarkCompleted","OznačiKaoZavršen","ActionDesign\Actions\Task.MarkCompleted",
"Caption","Base Audited Object Weak Reference","Base Audited Object Weak Reference","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference",
"Caption","Display Name","Naziv za prikaz","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\DisplayName",
"Caption","Guid Id","Guid Id","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\GuidId",
"Caption","Int Id","Int Id","BOModel\DevExpress.Persistent.AuditTrail.BaseAuditedObjectWeakReference\OwnMembers\IntId",
"Caption","Address","Adresa","BOModel\DevExpress.Persistent.BaseImpl.Address",
"Caption","Street","Ulica","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Street",
"Caption","City","Mjesto","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\City",
"Caption","State Province","Općina","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\StateProvince",
"Caption","Zip Postal","Poštanski broj","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\ZipPostal",
"Caption","Country","Država","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\Country",
"Caption","Full Address","Puna adresa","BOModel\DevExpress.Persistent.BaseImpl.Address\OwnMembers\FullAddress",
"Caption","Analysis","Analiza","BOModel\DevExpress.Persistent.BaseImpl.Analysis",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Name",
"Caption","Criteria","Kriterij","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Criteria",
"Caption","Self","Self","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\Self",
"Caption","Data Type","Tip podataka","BOModel\DevExpress.Persistent.BaseImpl.Analysis\OwnMembers\DataType",
"Caption","Audit Data Item Persistent","Audit Data Item Persistent","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent",
"Caption","User Name","Korisničko ime","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\UserName",
"Caption","Modified On","Datum promjene","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\ModifiedOn",
"Caption","Operation Type","Tip operacija","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OperationType",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\Description",
"Caption","Old Value","Stara vrijednost","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OldValue",
"Caption","New Value","Nova vrijednost","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\NewValue",
"Caption","Property Name","Naziv svojstva","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\PropertyName",
"Caption","Audited Object Weak Reference","Audited Object Weak Reference","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference",
"Caption","Audit Data Items","Audit Data Items","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference\OwnMembers\AuditDataItems",
"Caption","Base Object","Bazni objekt","BOModel\DevExpress.Persistent.BaseImpl.BaseObject",
"Caption","User","User","BOModel\DevExpress.Persistent.BaseImpl.BasicUser",
"Caption","User Name","User Name","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\UserName",
"Caption","Full Name","Full Name","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\FullName",
"Caption","Is Active","Is Active","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsActive",
"Caption","Is Administrator","Is Administrator","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Change Password On First Logon","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Country","Država","BOModel\DevExpress.Persistent.BaseImpl.Country",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\Name",
"Caption","Phone Code","Pozivni broj","BOModel\DevExpress.Persistent.BaseImpl.Country\OwnMembers\PhoneCode",
"Caption","Scheduler Event","Događaj u kalendaru","BOModel\DevExpress.Persistent.BaseImpl.Event",
"Caption","Subject","Naslov","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Subject",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Description",
"Caption","Start Date/Time","Datum/Vrijeme početka","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\StartOn",
"Caption","End Date/Time","Datum/Vrijeme završetka","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\EndOn",
"Caption","All Day","Cijeli dan","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\AllDay",
"Caption","Location","Lokacija","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Location",
"Caption","Label","Oznaka","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Label",
"Caption","Status","Status","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Status",
"Caption","Resources","Resursi","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\Resources",
"Caption","Recurrence Info Xml","Ponavljanje","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrenceInfoXml",
"Caption","Recurrence Pattern","Uzorak ponavljanja","BOModel\DevExpress.Persistent.BaseImpl.Event\OwnMembers\RecurrencePattern",
"Caption","File Attachment Base","Baza privitka","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase",
"Caption","File","Datoteka","BOModel\DevExpress.Persistent.BaseImpl.FileAttachmentBase\OwnMembers\File",
"Caption","File Data","Podaci datoteke","BOModel\DevExpress.Persistent.BaseImpl.FileData",
"Caption","Size","Veličina","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\Size",
"Caption","File Name","Naziv datoteke","BOModel\DevExpress.Persistent.BaseImpl.FileData\OwnMembers\FileName",
"Caption","HCategory","HKategorija","BOModel\DevExpress.Persistent.BaseImpl.HCategory",
"Caption","Children","Djeca","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Children",
"Caption","Parent","Roditelj","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Parent",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.BaseImpl.HCategory\OwnMembers\Name",
"Caption","Note","Bilješka","BOModel\DevExpress.Persistent.BaseImpl.Note",
"Caption","Author","Autor","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Author",
"Caption","Date Time","Datum i vrijeme","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\DateTime",
"Caption","Text","Tekst","BOModel\DevExpress.Persistent.BaseImpl.Note\OwnMembers\Text",
"Caption","Oid Generator","Oid generator","BOModel\DevExpress.Persistent.BaseImpl.OidGenerator",
"Caption","Organization","Tvrtka","BOModel\DevExpress.Persistent.BaseImpl.Organization",
"Caption","Full Name","Puno ime","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\FullName",
"Caption","Profile","Profil","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Profile",
"Caption","Email","Email","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Email",
"Caption","Web Site","Web Stranica","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\WebSite",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Description",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.BaseImpl.Organization\OwnMembers\Name",
"Caption","Party","Stranka","BOModel\DevExpress.Persistent.BaseImpl.Party",
"Caption","Photo","Fotografija","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Photo",
"Caption","Address 1","Adresa 1","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address1",
"Caption","Address 2","Adresa 2","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\Address2",
"Caption","Display Name","Ime za prikaz","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\DisplayName",
"Caption","Phone Numbers","Telefonski brojevi","BOModel\DevExpress.Persistent.BaseImpl.Party\OwnMembers\PhoneNumbers",
"Caption","Persistent Permission","Dozvole spremanja","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission",
"Caption","Role","Uloga","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission\OwnMembers\Role",
"Caption","Permission","Dozvola","BOModel\DevExpress.Persistent.BaseImpl.PersistentPermission\OwnMembers\Permission",
"Caption","Person","Osoba","BOModel\DevExpress.Persistent.BaseImpl.Person",
"Caption","First Name","Ime","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\FirstName",
"Caption","Last Name","Prezime","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\LastName",
"Caption","Middle Name","Srednje ime","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\MiddleName",
"Caption","Birthday","Rođendan","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\Birthday",
"Caption","Full Name","Puno ime","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\FullName",
"Caption","Email","Email","BOModel\DevExpress.Persistent.BaseImpl.Person\OwnMembers\Email",
"Caption","Phone Number","Telefonski broj","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber",
"Caption","Number","Broj","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\Number",
"Caption","Party","Stranka","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\Party",
"Caption","Phone Type","Tip telefona","BOModel\DevExpress.Persistent.BaseImpl.PhoneNumber\OwnMembers\PhoneType",
"Caption","Phone Type","Tip telefona","BOModel\DevExpress.Persistent.BaseImpl.PhoneType",
"Caption","Type Name","Naziv tipa","BOModel\DevExpress.Persistent.BaseImpl.PhoneType\OwnMembers\TypeName",
"Caption","Property Bag","Property Bag","BOModel\DevExpress.Persistent.BaseImpl.PropertyBag",
"Caption","Property Bag Descriptor","Property Bag Descriptor","BOModel\DevExpress.Persistent.BaseImpl.PropertyBagDescriptor",
"Caption","Property Descriptors","Property Descriptors","BOModel\DevExpress.Persistent.BaseImpl.PropertyBagDescriptor\OwnMembers\PropertyDescriptors",
"Caption","Property Descriptor","Property Descriptor","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor",
"Caption","Property Bags","Property Bags","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\PropertyBags",
"Caption","Code","Šifra","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Code",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Name",
"Caption","Description","Description","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Description",
"Caption","Type","Tip","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\Type",
"Caption","Value Type","Tip vrijednosti","BOModel\DevExpress.Persistent.BaseImpl.PropertyDescriptor\OwnMembers\ValueType",
"Caption","Property Value","Vrijednost svojstva","BOModel\DevExpress.Persistent.BaseImpl.PropertyValue",
"Caption","Resource","Resurs","BOModel\DevExpress.Persistent.BaseImpl.Resource",
"Caption","Caption","Naslov","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Caption",
"Caption","Events","Događaji","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Events",
"Caption","Color","Boja","BOModel\DevExpress.Persistent.BaseImpl.Resource\OwnMembers\Color",
"Caption","Role","Uloga","BOModel\DevExpress.Persistent.BaseImpl.Role",
"Caption","Users","Korisnici","BOModel\DevExpress.Persistent.BaseImpl.Role\OwnMembers\Users",
"Caption","Role Base","Baza uloge","BOModel\DevExpress.Persistent.BaseImpl.RoleBase",
"Caption","Name","Naziv","BOModel\DevExpress.Persistent.BaseImpl.RoleBase\OwnMembers\Name",
"Caption","Permissions","Dozvole","BOModel\DevExpress.Persistent.BaseImpl.RoleBase\OwnMembers\PersistentPermissions",
"Caption","Server Prefix","Prefiks servera","BOModel\DevExpress.Persistent.BaseImpl.ServerPrefix",
"Caption","User","Korisnik","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser",
"Caption","User Name","Korisničko ime","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\UserName",
"Caption","Full Name","Puno ime","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\FullName",
"Caption","Is Active","Aktivan?","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\IsActive",
"Caption","Is Administrator","Administrator?","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\IsAdministrator",
"Caption","Change Password On First Logon","Promijeni lozinku kod prve prijave","BOModel\DevExpress.Persistent.BaseImpl.SimpleUser\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","State","Stanje","BOModel\DevExpress.Persistent.BaseImpl.State",
"Caption","Short Name","Kratko ime","BOModel\DevExpress.Persistent.BaseImpl.State\OwnMembers\ShortName",
"Caption","Long Name","Dugo ime","BOModel\DevExpress.Persistent.BaseImpl.State\OwnMembers\LongName",
"Caption","Task","Zadatak","BOModel\DevExpress.Persistent.BaseImpl.Task",
"Caption","Subject","Predmet","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\Subject",
"Caption","Description","Opis","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\Description",
"Caption","Due Date","Rok","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\DueDate",
"Caption","Start Date","Datum početka","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\StartDate",
"Caption","Assigned To","Pridružen","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\AssignedTo",
"Caption","Status","Status","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\Status",
"Caption","Percent Completed","Postotak završenosti","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\PercentCompleted",
"Caption","Date Completed","Datum završetka","BOModel\DevExpress.Persistent.BaseImpl.Task\OwnMembers\DateCompleted",
"Caption","User","Korisnik","BOModel\DevExpress.Persistent.BaseImpl.User",
"Caption","Roles","Uloge","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\Roles",
"Caption","User Name","Korisničko ime","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\UserName",
"Caption","Change Password On First Logon","Promijeni lozinku kod prve prijave","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\ChangePasswordOnFirstLogon",
"Caption","Is Active","Aktivan?","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\IsActive",
"Caption","Permissions","Dozvole","BOModel\DevExpress.Persistent.BaseImpl.User\OwnMembers\Permissions",
"Caption","XPWeak Reference","XPWeak referenca","BOModel\DevExpress.Xpo.XPWeakReference",
"Value","Task Status","Status zadatka","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus",
"Value","Completed","Završen","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\Completed",
"Value","Deferred","Odgođen","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\Deferred",
"Value","In progress","U tijeku","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\InProgress",
"Value","Not started","Nezapočet","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\NotStarted",
"Value","Waiting for someone else","Na čekanju zbog drugih","Localization\Enums\DevExpress.Persistent.Base.General.TaskStatus\WaitingForSomeoneElse",
"Caption","Reports","Izvještaji","NavigationItems\Items\Reports",
"Name","EventIntervalValid","EventIntervalValid","Validation\Rules\EventIntervalValid",
"CustomMessageTemplate","The start date must be less than the end date","Datum početka mora biti manji od datuma završetka","Validation\Rules\EventIntervalValid",
"Name","FileAttachmentBaseRule","FileAttachmentBaseRule","Validation\Rules\FileAttachmentBaseRule",
"CustomMessageTemplate","File should be assigned","Datoteka bi trebala biti pridružena","Validation\Rules\FileAttachmentBaseRule",
"Name","HCategoryCircularReferences","HCategoryCircularReferences","Validation\Rules\HCategoryCircularReferences",
"CustomMessageTemplate","Circular refrerence detected. To correct this error, set the Parent property to another value.","Otkrivena je kružna referenca. Kako bi izbjegli ovu grešku, postavite Roditelj (Parent) svojstvo na drugu vrijednost.","Validation\Rules\HCategoryCircularReferences",
"FoundObjectMessagesSeparator",", ",", ","Validation\Rules\PropertyDescriptor Code is unique",
"Name","PropertyDescriptor Code is unique","PropertyDescriptor Code je jedinstven","Validation\Rules\PropertyDescriptor Code is unique",
"CustomMessageTemplate","The 'Code' property must have a unique value","Code' svojstvo mora imati jedinstvenu vrijednost","Validation\Rules\PropertyDescriptor Code is unique",
"Name","PropertyDescriptor Code required","PropertyDescriptor Code je obavezan","Validation\Rules\PropertyDescriptor Code required",
