"Property Name",,"hr","Node Path","Description"
"Value","RefPropertyName: ","RefPropertyName: ","Localization\Controls\ServerLog\RefPropertyName",
"Value","Connection string for scheme '{0}' is not supported.","Connection string for scheme '{0}' is not supported.","Localization\Controls\ServerLog\SchemeIsNotSupported",
"Value","Starting the Application Server.","Starting the Application Server.","Localization\Controls\ServerLog\StartingAppServer",
"Value","ActionContainer","ActionContainer","Localization\DashboardOrganizationItems\ActionContainer",
"Value","Image","Slika","Localization\DashboardOrganizationItems\StaticImage",
"Value","Text","Tekst","Localization\DashboardOrganizationItems\StaticText",
"Value","&Abort","&Prekini","Localization\DialogButtons\Abort",
"Value","Add","Dodaj","Localization\DialogButtons\Add",
"Value","Apply","Primijeni","Localization\DialogButtons\Apply",
"Value","< Back","< Natrag","Localization\DialogButtons\Back",
"Value","&Cancel","&Odustani","Localization\DialogButtons\Cancel",
"Value","C&lear","O&čisti","Localization\DialogButtons\Clear",
"Value","Close","Zatvori","Localization\DialogButtons\Close",
"Value","Find","Pronađi","Localization\DialogButtons\Find",
"Value","&Ignore","&Ignoriraj","Localization\DialogButtons\Ignore",
"Value","Next >","Slijedeći >","Localization\DialogButtons\Next",
"Value","&No","&Ne","Localization\DialogButtons\No",
"Value","&OK","&U redu","Localization\DialogButtons\OK",
"Value","Remove","Makni","Localization\DialogButtons\Remove",
"Value","&Retry","&Pokušaj ponovo","Localization\DialogButtons\Retry",
"Value","&Yes","&Da","Localization\DialogButtons\Yes",
"Value","View Item Visibility","Vidljivost stavaka pogleda","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Sakrij","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Prikaži","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Prikaži prazni prostor","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,"Vidljivost stavaka radne ploče","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Sakriven","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"Vidljiv","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Actions Toolbar Visibility","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","Default","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
